NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02
1.7,40,1,41,,,3874,1184.0
1.7,40,2,41,,,3945,1187.0
1.7,40,3,41,,,4021,1186.0
1.7,40,4,41,,,3960,1176.0
1.7,40,5,41,,,3912,1170.0
1.7,50,1,51,,,4760,1209.0
1.7,50,2,51,,,4902,1193.0
1.7,50,3,51,,,4944,1194.0
1.7,50,4,51,,,4883,1205.0
1.7,50,5,51,,,4929,1199.0
1.7,60,1,64,,,5790,1225.0
1.7,60,2,65,,,6124,1236.0
1.7,60,3,65,,,6075,1226.0
1.7,60,4,65,,,6254,1204.0
1.7,60,5,65,,,6225,1220.0
1.7,70,1,75,,,6353,1234.0
1.7,70,2,75,,,7208,1253.0
1.7,70,3,74,,,7297,1206.0
1.7,70,4,74,,,6994,1217.0
1.7,70,5,74,,,7177,1230.0
1.7,80,1,82,,,7664,1272.0
1.7,80,2,82,,,7701,1263.0
1.7,80,3,82,,,7846,1264.0
1.7,80,4,83,,,7927,1239.0
1.7,80,5,83,,,7937,1229.0
1.8,25,1,23,,,2331,1104.0
1.8,25,2,23,,,2338,1112.0
